feature,iv,selection_status,dtype
grade,0.941956,strong,categorical
term,0.480568,strong,numerical
loan_to_income,0.254328,medium,numerical
fico_range_low,0.243705,medium,numerical
fico_range_high,0.243705,medium,numerical
fico_avg,0.243705,medium,numerical
installment_to_income,0.169799,medium,numerical
acc_open_past_24mths,0.162172,medium,numerical
dti,0.151671,medium,numerical
num_tl_op_past_12m,0.11617,medium,numerical
bc_open_to_buy,0.112064,medium,numerical
verification_status,0.102569,medium,categorical
avg_cur_bal,0.083145,weak,numerical
total_bc_limit,0.078651,weak,numerical
mo_sin_rcnt_tl,0.078413,weak,numerical
funded_amnt,0.074621,weak,numerical
loan_amnt,0.074523,weak,numerical
tot_hi_cred_lim,0.074516,weak,numerical
funded_amnt_inv,0.073484,weak,numerical
tot_cur_bal,0.066503,weak,numerical
annual_inc,0.064098,weak,numerical
high_dti_flag,0.063094,weak,categorical
percent_bc_gt_75,0.062291,weak,numerical
mths_since_recent_inq,0.061906,weak,numerical
mo_sin_rcnt_rev_tl_op,0.060379,weak,numerical
installment,0.059686,weak,numerical
num_actv_rev_tl,0.059031,weak,numerical
num_rev_tl_bal_gt_0,0.058533,weak,numerical
bc_util,0.055736,weak,numerical
inq_last_6mths,0.055133,weak,numerical
mths_since_recent_bc,0.052713,weak,numerical
mort_acc,0.051285,weak,numerical
total_rev_hi_lim,0.050161,weak,numerical
revol_util,0.045639,weak,numerical
mo_sin_old_rev_tl_op,0.044298,weak,numerical
home_ownership,0.041706,weak,categorical
mths_since_recent_inq_missing,0.039513,weak,categorical
UNRATE,0.037451,weak,numerical
CSUSHPINSA,0.037155,weak,numerical
purpose,0.034605,weak,categorical
total_credit_utilization,0.034348,weak,numerical
UMCSENT,0.032854,weak,numerical
CPIAUCSL,0.032781,weak,numerical
credit_history_years,0.029851,weak,numerical
num_op_rev_tl,0.022365,weak,numerical
addr_state,0.020455,weak,categorical
DFF,0.019848,drop,numerical
num_actv_bc_tl,0.019295,drop,numerical
recent_inquiry_flag,0.018881,drop,categorical
num_sats,0.016655,drop,numerical
open_acc,0.015967,drop,numerical
mo_sin_old_il_acct,0.015789,drop,numerical
emp_length_unknown,0.011996,drop,categorical
A191RL1Q225SBEA,0.010873,drop,numerical
pub_rec,0.010339,drop,numerical
has_public_record,0.010221,drop,categorical
total_bal_ex_mort,0.009719,drop,numerical
total_il_high_credit_limit,0.00955,drop,numerical
pct_tl_nvr_dlq,0.009481,drop,numerical
has_major_derog,0.009284,drop,categorical
revol_bal,0.008019,drop,numerical
num_accts_ever_120_pd,0.007733,drop,numerical
emp_length,0.007489,drop,numerical
pub_rec_bankruptcies,0.007415,drop,numerical
num_il_tl,0.007359,drop,numerical
num_bc_tl,0.006886,drop,numerical
num_bc_sats,0.006449,drop,numerical
num_rev_accts,0.005782,drop,numerical
tot_coll_amt,0.00535,drop,numerical
mths_since_last_delinq,0.005062,drop,numerical
no_delinq_history,0.00349,drop,categorical
delinq_2yrs,0.003375,drop,numerical
has_recent_bc_delinq,0.003115,drop,categorical
mths_since_recent_revol_delinq,0.003093,drop,numerical
delinq_flag,0.002497,drop,categorical
num_tl_90g_dpd_24m,0.002142,drop,numerical
no_revol_delinq,0.001993,drop,categorical
initial_list_status,0.001201,drop,categorical
total_acc,0.000778,drop,numerical
application_type,0.000151,drop,categorical
inq_fi,0.0,drop,numerical
total_bal_il,0.0,drop,numerical
inq_last_12m,0.0,drop,numerical
tax_liens,0.0,drop,numerical
il_util_missing,0.0,drop,categorical
installment_features_missing,0.0,drop,categorical
total_cu_tl,0.0,drop,numerical
il_util,0.0,drop,numerical
mths_since_rcnt_il,0.0,drop,numerical
disbursement_method,0.0,drop,categorical
acc_now_delinq,0.0,drop,numerical
open_rv_24m,0.0,drop,numerical
open_rv_12m,0.0,drop,numerical
open_il_24m,0.0,drop,numerical
mths_since_rcnt_il_missing,0.0,drop,categorical
open_act_il,0.0,drop,numerical
open_acc_6m,0.0,drop,numerical
delinq_amnt,0.0,drop,numerical
num_tl_30dpd,0.0,drop,numerical
num_tl_120dpd_2m,0.0,drop,numerical
max_bal_bc,0.0,drop,numerical
all_util,0.0,drop,numerical
chargeoff_within_12_mths,0.0,drop,numerical
collections_12_mths_ex_med,0.0,drop,numerical
open_il_12m,0.0,drop,numerical
