cutoff,n_approved,approval_rate,default_rate,expected_loss,simple_utility,risk_adj_utility
520,225639,1.0,0.21291975234777677,0.21291975234777677,0.7870802476522232,0.14832099060889292
530,225638,0.9999955681420322,0.2129162641044505,0.21291532048980893,0.7870802476522232,0.1483342861827964
540,225590,0.999782838959577,0.21282858282725298,0.21278236475077444,0.7870004742088026,0.14865337995647918
550,224708,0.9958739402319634,0.21149224771703723,0.21061961806248033,0.7852543221694831,0.15339546798204207
560,221153,0.9801186851563781,0.2067799215927435,0.20266886486821872,0.7774498202881595,0.16944322568350326
570,213034,0.9441364303156813,0.19821718598909094,0.1871440664069598,0.7569923639087216,0.19556016468784213
580,198068,0.8778092439693492,0.18430034129692832,0.1617805432571497,0.7160287007121996,0.2306870709407505
590,173175,0.7674870035765093,0.16376497762379097,0.12568749196725743,0.641799511609252,0.26473703570747964
600,138747,0.6149069974605453,0.13876336064923928,0.08532656145435852,0.5295804360061868,0.27360075164311126
610,100917,0.4472498105380719,0.11100211064538185,0.049645672955473126,0.39760413758259877,0.24866711871617939
620,66847,0.29625640957458593,0.084880398521998,0.025146362109387116,0.2711100474651988,0.19567096113703747
630,42673,0.18912067506060565,0.06334216014810301,0.011979312087006234,0.17714136297359942,0.1412034267125807
640,24384,0.10806642468722162,0.046423884514435694,0.005016863219567539,0.10304956146765408,0.08799897180895147
650,10174,0.04508972296455843,0.03538431295459013,0.001595468868413705,0.04349425409614473,0.03870784749090361
660,2652,0.011753287330647627,0.024886877828054297,0.00029250262587584587,0.01146078470477178,0.010583276827144243
670,344,0.0015245591409286515,0.029069767441860465,4.431857967815847e-05,0.001480240561250493,0.0013472848222160177
680,5,2.2159289839079236e-05,0.0,0.0,2.2159289839079236e-05,2.2159289839079236e-05
690,0,0.0,0.0,0.0,0.0,0.0
