month_date,grade,flow_rate_30,flow_rate_90,flow_rate_120,flow_rate_60,flow_rate_150,flow_rate_180,flow_rate_gco,scenario
2007-06-01,E,0.0,,,,,,,central
2007-07-01,A,0.0,,,,,,,central
2007-07-01,B,0.0,,,,,,,central
2007-07-01,C,0.0,,,,,,,central
2007-07-01,E,0.0,,,,,,,central
2007-07-01,F,0.0,,,,,,,central
2007-08-01,A,0.0,,,,,,,central
2007-08-01,B,0.0,,,,,,,central
2007-08-01,C,0.0,,,,,,,central
2007-08-01,D,0.0,,,,,,,central
2007-08-01,E,0.0,,,,,,,central
2007-08-01,F,0.0,,,,,,,central
2007-09-01,A,0.0,,,,,,,central
2007-09-01,B,0.0,,,,,,,central
2007-09-01,C,0.0,,,,,,,central
2007-09-01,D,0.0,,,,,,,central
2007-09-01,E,0.0,,,,,,,central
2007-09-01,F,0.0,,,,,,,central
2007-10-01,A,0.0,,,,,,,central
2007-10-01,B,0.0,,,,,,,central
2007-10-01,C,0.0,,,,,,,central
2007-10-01,D,0.0,,,,,,,central
2007-10-01,E,0.0,,,,,,,central
2007-10-01,F,0.0,,,,,,,central
2007-11-01,A,0.0,,,,,,,central
2007-11-01,B,0.0,,,,,,,central
2007-11-01,C,0.0,,,,,,,central
2007-11-01,D,0.0,,,,,,,central
2007-11-01,E,0.0,,,,,,,central
2007-11-01,F,0.0,,,,,,,central
2007-12-01,A,0.0,,,,,,,central
2007-12-01,B,0.0,,,,,,,central
2007-12-01,C,0.0,,,,,,,central
2007-12-01,D,0.0,,,,,,,central
2007-12-01,E,0.0,,,,,,,central
2007-12-01,F,0.0,,,,,,,central
2008-01-01,A,0.0,,,,,,,central
2008-01-01,B,0.0,,,,,,,central
2008-01-01,C,0.0,,,,,,,central
2008-01-01,D,0.0,,,,,,,central
2008-01-01,E,0.0,,,,,,,central
2008-01-01,F,0.0,,,,,,,central
2008-01-01,G,0.0,,,,,,,central
2008-02-01,A,0.0,,,,,,,central
2008-02-01,B,0.0,,,,,,,central
2008-02-01,C,0.0,,,,,,,central
2008-02-01,D,0.0,,,,,,,central
2008-02-01,E,0.0,,,,,,,central
2008-02-01,F,0.0,,,,,,,central
2008-02-01,G,0.0,,,,,,,central
2008-03-01,A,0.0,,,,,,,central
2008-03-01,B,0.0,,,,,,,central
2008-03-01,C,0.0,,,,,,,central
2008-03-01,D,0.0,,,,,,,central
