month_date,grade,ftr
2007-06-01,E,1.0
2007-07-01,A,1.0
2007-07-01,B,1.0
2007-07-01,C,1.0
2007-07-01,E,1.0
2007-07-01,F,1.0
2007-08-01,A,1.0
2007-08-01,B,1.0
2007-08-01,C,1.0
2007-08-01,D,1.0
2007-08-01,E,1.0
2007-08-01,F,1.0
2007-09-01,A,1.0
2007-09-01,B,1.0
2007-09-01,C,1.0
2007-09-01,D,1.0
2007-09-01,E,1.0
2007-09-01,F,1.0
2007-10-01,A,1.0
2007-10-01,B,1.0
2007-10-01,C,1.0
2007-10-01,D,1.0
2007-10-01,E,1.0
2007-10-01,F,1.0
2007-11-01,A,1.0
2007-11-01,B,1.0
2007-11-01,C,1.0
2007-11-01,D,1.0
2007-11-01,E,1.0
2007-11-01,F,1.0
2007-12-01,A,1.0
2007-12-01,B,1.0
2007-12-01,C,1.0
2007-12-01,D,1.0
2007-12-01,E,1.0
2007-12-01,F,1.0
2008-01-01,A,1.0
2008-01-01,B,1.0
2008-01-01,C,1.0
2008-01-01,D,1.0
2008-01-01,E,1.0
2008-01-01,F,1.0
2008-01-01,G,1.0
2008-02-01,A,1.0
2008-02-01,B,1.0
2008-02-01,C,1.0
2008-02-01,D,1.0
2008-02-01,E,1.0
2008-02-01,F,1.0
2008-02-01,G,1.0
2008-03-01,A,1.0
2008-03-01,B,1.0
2008-03-01,C,1.0
2008-03-01,D,1.0
2008-03-01,E,1.0
2008-03-01,F,1.0
2008-03-01,G,1.0
2008-04-01,A,1.0
2008-04-01,B,1.0
2008-04-01,C,1.0
2008-04-01,D,1.0
2008-04-01,E,1.0
2008-04-01,F,1.0
2008-04-01,G,1.0
2008-05-01,A,1.0
2008-05-01,B,1.0
2008-05-01,C,0.003228
2008-05-01,D,0.004898
2008-05-01,E,1.0
2008-05-01,F,1.0
2008-05-01,G,1.0
2008-06-01,A,1.0
2008-06-01,B,1.0
2008-06-01,C,1.0
2008-06-01,D,0.020571
2008-06-01,E,1.0
2008-06-01,F,1.0
2008-06-01,G,1.0
2008-07-01,A,1.0
2008-07-01,B,0.004235
2008-07-01,C,0.001161
2008-07-01,D,0.019509
2008-07-01,E,1.0
2008-07-01,F,1.0
2008-07-01,G,1.0
2008-08-01,A,1.0
2008-08-01,B,0.004211
2008-08-01,C,0.005177
2008-08-01,D,0.026099982895
2008-08-01,E,0.032887
2008-08-01,F,1.0
2008-08-01,G,1.0
2008-09-01,A,1.0
2008-09-01,B,0.006058
2008-09-01,C,0.007635
2008-09-01,D,0.015806
2008-09-01,E,0.034518
2008-09-01,F,1.0
2008-09-01,G,1.0
2008-10-01,A,1.0
2008-10-01,B,0.009821
2008-10-01,C,0.016564
2008-10-01,D,0.02391031426
2008-10-01,E,0.00647
2008-10-01,F,1.0
2008-10-01,G,1.0
2008-11-01,A,1.0
2008-11-01,B,1.0
2008-11-01,C,0.002692
2008-11-01,D,0.0022984704371559
2008-11-01,E,1.0
2008-11-01,F,1.0
2008-11-01,G,1.0
2008-12-01,A,1.0
2008-12-01,B,0.001586
2008-12-01,C,0.002432
2008-12-01,D,0.009487524435
2008-12-01,E,1.0
2008-12-01,F,1.0
2008-12-01,G,1.0
2009-01-01,A,1.0
2009-01-01,B,0.013553
2009-01-01,C,0.010412
2009-01-01,D,0.006671
2009-01-01,E,1.0
2009-01-01,F,1.0
2009-01-01,G,1.0
2009-02-01,A,1.0
2009-02-01,B,0.0003995928199063
2009-02-01,C,0.0004998735228977
2009-02-01,D,0.0016310359550887
2009-02-01,E,1.0
2009-02-01,F,1.0
2009-02-01,G,1.0
2009-03-01,A,1.0
2009-03-01,B,0.0011858115364219
2009-03-01,C,0.005778627654
2009-03-01,D,0.01088279704
2009-03-01,E,0.025437
2009-03-01,F,1.0
2009-03-01,G,0.531366
2009-04-01,A,0.002553
2009-04-01,B,0.000765375072
2009-04-01,C,0.000613600992
2009-04-01,D,0.0042963884150205
2009-04-01,E,1.0
2009-04-01,F,0.014962
2009-04-01,G,1.0
2009-05-01,A,1.0
2009-05-01,B,0.33458522052
2009-05-01,C,0.010878
2009-05-01,D,0.0051833289166636
2009-05-01,E,0.001485180999
2009-05-01,F,1.0
2009-05-01,G,1.0
2009-06-01,A,0.567568
2009-06-01,B,0.0007011551415496
2009-06-01,C,0.0013212134674154
2009-06-01,D,0.0040896541500862
2009-06-01,E,0.023881
2009-06-01,F,0.01848103894
2009-06-01,G,1.0
2009-07-01,A,1.0
2009-07-01,B,0.0014333630847076
2009-07-01,C,0.006130955665
2009-07-01,D,0.0057692616599435
2009-07-01,E,0.002305095504
2009-07-01,F,0.039204
2009-07-01,G,1.0
2009-08-01,A,0.0009336206879999
2009-08-01,B,0.0053918742453012
2009-08-01,C,0.0051779005975406
2009-08-01,D,0.0017515778926518
2009-08-01,E,0.004038
2009-08-01,F,0.0171223902
2009-08-01,G,1.0
2009-09-01,A,0.00189508815
2009-09-01,B,0.0024987864388643
2009-09-01,C,0.0028266542646164
2009-09-01,D,0.005957
2009-09-01,E,0.018487
2009-09-01,F,0.1594205
2009-09-01,G,0.029763
2009-10-01,A,0.001779
2009-10-01,B,0.0038871229935022
2009-10-01,C,0.0025454820307958
2009-10-01,D,0.013048
2009-10-01,E,0.009689
2009-10-01,F,0.375
2009-10-01,G,1.0
2009-11-01,A,0.0006894359266548
2009-11-01,B,0.0050666378247034
2009-11-01,C,0.001782146616
2009-11-01,D,0.0054014950329999
2009-11-01,E,0.004163
2009-11-01,F,0.00895
2009-11-01,G,1.0
2009-12-01,A,0.001886173947
2009-12-01,B,0.0027986997567273
2009-12-01,C,0.0016008625146705
2009-12-01,D,0.008133604871
2009-12-01,E,0.007814
2009-12-01,F,0.375
2009-12-01,G,1.0
2010-01-01,A,0.0009475674842523
2010-01-01,B,0.0042655475172148
2010-01-01,C,0.003092664102
2010-01-01,D,0.0056903495716028
2010-01-01,E,0.0064955
2010-01-01,F,0.03768
2010-01-01,G,1.0
2010-02-01,A,0.001018164007018
2010-02-01,B,0.002634542532
2010-02-01,C,0.0020462698997456
2010-02-01,D,0.0013308151188103
2010-02-01,E,0.0008779791980563
2010-02-01,F,0.035284
2010-02-01,G,1.0
2010-03-01,A,0.0010249465316637
2010-03-01,B,0.0032034563879999
2010-03-01,C,0.004083138039588
2010-03-01,D,0.001755781209
2010-03-01,E,0.0031163928905484
2010-03-01,F,1.0
2010-03-01,G,1.0
2010-04-01,A,0.001153406348893
2010-04-01,B,0.0037612866919281
2010-04-01,C,0.0015128420516504
2010-04-01,D,0.00633100915
2010-04-01,E,0.434306464272
2010-04-01,F,1.0
2010-04-01,G,0.039794
2010-05-01,A,0.0018894437773613
2010-05-01,B,0.001312656228
2010-05-01,C,0.0033641087304871
2010-05-01,D,0.004815681068
2010-05-01,E,0.003052356318
2010-05-01,F,0.049886
2010-05-01,G,1.0
2010-06-01,A,0.0001465682287999
2010-06-01,B,0.0019617793648341
2010-06-01,C,0.0065996257155523
2010-06-01,D,0.0038840107759262
2010-06-01,E,0.0036894080254858
2010-06-01,F,0.025163772172
