vintage_year,grade,mob,defaults_at_mob,active_at_mob,marginal_pd
2007,A,1,0,57,0.0
2007,A,2,0,57,0.0
2007,A,3,0,57,0.0
2007,A,4,0,57,0.0
2007,A,5,0,56,0.0
2007,A,6,0,56,0.0
2007,A,7,0,53,0.0
2007,A,8,0,47,0.0
2007,A,9,0,44,0.0
2007,A,10,0,42,0.0
2007,A,11,0,42,0.0
2007,A,12,0,41,0.0
2007,A,13,0,41,0.0
2007,A,14,0,41,0.0
2007,A,15,0,40,0.0
2007,A,16,0,40,0.0
2007,A,17,0,39,0.0
2007,A,18,1,39,0.02564102564102564
2007,A,19,0,38,0.0
2007,A,20,0,38,0.0
2007,A,21,0,37,0.0
2007,A,22,0,37,0.0
2007,A,23,0,36,0.0
2007,A,24,0,35,0.0
2007,A,25,0,35,0.0
2007,A,26,0,34,0.0
2007,A,27,0,34,0.0
2007,A,28,0,34,0.0
2007,A,29,0,32,0.0
2007,A,30,0,31,0.0
2007,A,31,0,31,0.0
2007,A,32,0,30,0.0
2007,A,33,0,29,0.0
2007,A,34,0,28,0.0
2007,A,35,0,26,0.0
2007,A,36,0,24,0.0
2007,A,37,0,3,0.0
2007,A,38,0,0,0.0
2007,A,39,0,0,0.0
2007,A,40,0,0,0.0
2007,A,41,0,0,0.0
2007,A,42,0,0,0.0
2007,A,43,0,0,0.0
2007,A,44,0,0,0.0
2007,A,45,0,0,0.0
2007,A,46,0,0,0.0
2007,A,47,0,0,0.0
2007,A,48,0,0,0.0
2007,A,49,0,0,0.0
2007,A,50,0,0,0.0
2007,A,51,0,0,0.0
2007,A,52,0,0,0.0
2007,A,53,0,0,0.0
2007,B,1,0,61,0.0
2007,B,2,0,61,0.0
2007,B,3,0,61,0.0
2007,B,4,0,61,0.0
2007,B,5,0,61,0.0
2007,B,6,0,60,0.0
2007,B,7,1,59,0.01694915254237288
2007,B,8,0,57,0.0
2007,B,9,0,57,0.0
2007,B,10,0,55,0.0
2007,B,11,0,55,0.0
2007,B,12,0,55,0.0
2007,B,13,1,53,0.018867924528301886
2007,B,14,1,52,0.019230769230769232
2007,B,15,0,50,0.0
2007,B,16,0,50,0.0
2007,B,17,0,50,0.0
2007,B,18,1,50,0.02
2007,B,19,0,49,0.0
2007,B,20,2,48,0.041666666666666664
2007,B,21,0,44,0.0
2007,B,22,0,44,0.0
2007,B,23,0,44,0.0
2007,B,24,0,43,0.0
2007,B,25,0,41,0.0
2007,B,26,0,41,0.0
2007,B,27,1,40,0.025
2007,B,28,0,39,0.0
2007,B,29,0,38,0.0
2007,B,30,0,38,0.0
2007,B,31,1,38,0.02631578947368421
2007,B,32,0,36,0.0
2007,B,33,0,35,0.0
2007,B,34,0,34,0.0
2007,B,35,0,34,0.0
2007,B,36,0,33,0.0
2007,B,37,0,8,0.0
2007,B,38,0,1,0.0
2007,B,39,0,0,0.0
2007,B,40,0,0,0.0
2007,B,41,0,0,0.0
2007,B,42,0,0,0.0
2007,B,43,0,0,0.0
2007,B,44,0,0,0.0
2007,B,45,0,0,0.0
2007,B,46,0,0,0.0
2007,B,47,0,0,0.0
2007,B,48,0,0,0.0
2007,B,49,0,0,0.0
2007,B,50,0,0,0.0
2007,B,51,0,0,0.0
2007,B,52,0,0,0.0
2007,B,53,0,0,0.0
2007,C,1,0,75,0.0
2007,C,2,0,75,0.0
2007,C,3,0,75,0.0
2007,C,4,0,73,0.0
2007,C,5,0,73,0.0
2007,C,6,0,73,0.0
2007,C,7,2,73,0.0273972602739726
2007,C,8,0,71,0.0
2007,C,9,1,71,0.014084507042253521
2007,C,10,1,68,0.014705882352941176
2007,C,11,0,67,0.0
2007,C,12,0,66,0.0
2007,C,13,0,66,0.0
2007,C,14,0,64,0.0
2007,C,15,2,62,0.03225806451612903
2007,C,16,1,60,0.016666666666666666
2007,C,17,0,59,0.0
2007,C,18,0,59,0.0
2007,C,19,0,59,0.0
2007,C,20,0,56,0.0
2007,C,21,1,55,0.01818181818181818
2007,C,22,0,54,0.0
2007,C,23,0,54,0.0
2007,C,24,1,54,0.018518518518518517
2007,C,25,0,53,0.0
2007,C,26,1,52,0.019230769230769232
2007,C,27,0,50,0.0
2007,C,28,0,50,0.0
2007,C,29,1,47,0.02127659574468085
2007,C,30,1,46,0.021739130434782608
2007,C,31,0,43,0.0
2007,C,32,0,42,0.0
2007,C,33,0,41,0.0
2007,C,34,0,41,0.0
2007,C,35,0,41,0.0
2007,C,36,0,39,0.0
2007,C,37,0,11,0.0
2007,C,38,0,5,0.0
2007,C,39,0,4,0.0
2007,C,40,0,4,0.0
2007,C,41,0,3,0.0
2007,C,42,1,3,0.3333333333333333
