month_date,grade,total_balance,current_balance,delinquent_balance,gco_balance,ecl_simple,ecl_rate,ecl_dcf
2007-06-01,E,7500.0,7500.0,0.0,0.0,2001.44,0.266858,1993.1352697095438
2007-07-01,A,64050.0,64050.0,0.0,0.0,2051.74,0.032033,2043.2265560165972
2007-07-01,B,31500.0,31500.0,0.0,0.0,2410.73,0.076531,2400.726970954357
2007-07-01,C,73450.0,73450.0,0.0,0.0,10295.26,0.140167,10252.541078838174
2007-07-01,E,7500.0,7500.0,0.0,0.0,2001.44,0.266858,1993.1352697095438
2007-07-01,F,2700.0,2700.0,0.0,0.0,888.78,0.329177,885.0921161825726
2007-08-01,A,107463.59,107463.59,0.0,0.0,3442.43,0.032033,3428.1460580912862
2007-08-01,B,67437.3,67437.3,0.0,0.0,5161.05,0.076531,5139.634854771784
2007-08-01,C,91407.65,91407.65,0.0,0.0,12812.33,0.140167,12759.166804979253
2007-08-01,D,34400.0,34400.0,0.0,0.0,6894.71,0.200427,6866.101244813278
2007-08-01,E,33159.09,33159.09,0.0,0.0,8848.77,0.266858,8812.053112033196
2007-08-01,F,39091.04,39091.04,0.0,0.0,12867.89,0.329177,12814.496265560165
2007-09-01,A,136251.67,136251.67,0.0,0.0,4364.61,0.032033,4346.499585062241
2007-09-01,B,118457.33,118457.33,0.0,0.0,9065.67,0.076531,9028.053112033194
2007-09-01,C,127480.51,127480.51,0.0,0.0,17868.55,0.140167,17794.406639004148
2007-09-01,D,49899.52,49899.52,0.0,0.0,10001.24,0.200427,9959.741078838175
2007-09-01,E,32759.72,32759.72,0.0,0.0,8742.19,0.266858,8705.915352697097
2007-09-01,F,40042.16,40042.16,0.0,0.0,13180.97,0.329177,13126.277178423235
2007-10-01,A,181222.31,181222.31,0.0,0.0,5805.18,0.032033,5781.092116182573
2007-10-01,B,146414.79,146414.79,0.0,0.0,11205.29,0.076531,11158.79502074689
2007-10-01,C,224237.01,224237.01,0.0,0.0,31430.6,0.140167,31300.182572614107
2007-10-01,D,89286.45,89286.45,0.0,0.0,17895.46,0.200427,17821.20497925311
2007-10-01,E,61635.77,61635.77,0.0,0.0,16448.0,0.266858,16379.751037344398
2007-10-01,F,59283.69,59283.69,0.0,0.0,19514.85,0.329177,19433.875518672197
2007-11-01,A,242685.26,242685.26,0.0,0.0,7774.05,0.032033,7741.792531120333
