month_date,grade,dpd_bucket,balance,count,gco_amount,recovery_amount,nco_amount
2007-07-01,A,Current,64050.0,13,0.0,0.0,0.0
2007-08-01,A,Current,107463.59,23,0.0,0.0,0.0
2007-09-01,A,Current,136251.67,28,0.0,0.0,0.0
2007-10-01,A,Current,181222.31,36,0.0,0.0,0.0
2007-11-01,A,Current,242685.26,47,0.0,0.0,0.0
2007-12-01,A,Current,296185.38,57,0.0,0.0,0.0
2008-01-01,A,Current,548314.77,99,0.0,0.0,0.0
2008-02-01,A,Current,724279.23,129,0.0,0.0,0.0
2008-03-01,A,Current,919169.85,160,0.0,0.0,0.0
2008-04-01,A,Current,1021224.43,183,0.0,0.0,0.0
2008-05-01,A,Current,1091761.82,202,0.0,0.0,0.0
2008-06-01,A,Current,1126413.26,216,0.0,0.0,0.0
2008-07-01,A,Current,1211975.87,235,0.0,0.0,0.0
2008-08-01,A,Current,1207306.34,245,0.0,0.0,0.0
2008-09-01,A,Current,1204283.73,253,0.0,0.0,0.0
2008-10-01,A,Current,1288960.95,274,0.0,0.0,0.0
2008-11-01,A,Current,1437849.0,305,0.0,0.0,0.0
2008-12-01,A,Current,1747397.84,352,0.0,0.0,0.0
2009-01-01,A,Current,2112994.61,412,0.0,0.0,0.0
2009-02-01,A,Current,2463911.86,475,0.0,0.0,0.0
2009-03-01,A,Current,2976979.47,546,0.0,0.0,0.0
2009-04-01,A,Current,3495305.43,631,0.0,0.0,0.0
2009-05-01,A,Current,3922356.19,705,0.0,0.0,0.0
2009-05-01,A,30+,8925.0,1,0.0,0.0,0.0
2009-06-01,A,Current,4444216.21,798,0.0,0.0,0.0
2009-06-01,A,60+,15725.0,2,0.0,0.0,0.0
2009-07-01,A,Current,5016082.68,898,0.0,0.0,0.0
2009-07-01,A,60+,6800.0,1,0.0,0.0,0.0
2009-07-01,A,90+,8925.0,1,0.0,0.0,0.0
2009-08-01,A,Current,5610683.52,1004,0.0,0.0,0.0
2009-08-01,A,120+,15725.0,2,0.0,0.0,0.0
2009-09-01,A,Current,6319654.28,1118,0.0,0.0,0.0
2009-09-01,A,30+,12112.5,3,0.0,0.0,0.0
2009-09-01,A,150+,6800.0,1,0.0,0.0,0.0
2009-09-01,A,180+,8925.0,1,0.0,0.0,0.0
2009-10-01,A,Current,7048531.19,1239,0.0,0.0,0.0
2009-10-01,A,30+,15512.5,2,0.0,0.0,0.0
2009-10-01,A,60+,9350.0,2,0.0,0.0,0.0
2009-10-01,A,180+,15725.0,2,0.0,0.0,0.0
2009-11-01,A,Current,7780346.78,1380,0.0,0.0,0.0
2009-11-01,A,30+,12537.5,2,0.0,0.0,0.0
2009-11-01,A,60+,20825.0,2,0.0,0.0,0.0
2009-11-01,A,90+,12112.5,3,0.0,0.0,0.0
2009-11-01,A,GCO,15725.0,2,13366.25,2272.26,11093.99
2009-12-01,A,Current,8633077.11,1515,0.0,0.0,0.0
2009-12-01,A,30+,9328.75,3,0.0,0.0,0.0
2009-12-01,A,60+,20612.5,3,0.0,0.0,0.0
2009-12-01,A,90+,15512.5,2,0.0,0.0,0.0
2009-12-01,A,120+,9350.0,2,0.0,0.0,0.0
2009-12-01,A,GCO,15725.0,2,13366.25,2272.26,11093.99
2010-01-01,A,Current,9350606.12,1645,0.0,0.0,0.0
2010-01-01,A,30+,26775.0,3,0.0,0.0,0.0
2010-01-01,A,60+,9328.75,3,0.0,0.0,0.0
2010-01-01,A,90+,12537.5,2,0.0,0.0,0.0
2010-01-01,A,120+,20825.0,2,0.0,0.0,0.0
2010-01-01,A,150+,12112.5,3,0.0,0.0,0.0
2010-01-01,A,GCO,15725.0,2,13366.25,2272.26,11093.99
2010-02-01,A,Current,10030338.65,1774,0.0,0.0,0.0
2010-02-01,A,30+,31450.0,4,0.0,0.0,0.0
2010-02-01,A,60+,26775.0,3,0.0,0.0,0.0
2010-02-01,A,90+,6778.75,2,0.0,0.0,0.0
2010-02-01,A,120+,15087.5,3,0.0,0.0,0.0
2010-02-01,A,150+,8075.0,1,0.0,0.0,0.0
2010-02-01,A,180+,17212.5,3,0.0,0.0,0.0
2010-02-01,A,GCO,23375.0,3,19868.75,3377.69,16491.06
2010-03-01,A,Current,11269027.34,1941,0.0,0.0,0.0
2010-03-01,A,30+,31450.0,4,0.0,0.0,0.0
2010-03-01,A,60+,16575.0,2,0.0,0.0,0.0
2010-03-01,A,90+,16978.75,3,0.0,0.0,0.0
2010-03-01,A,120+,6587.5,2,0.0,0.0,0.0
2010-03-01,A,150+,16575.0,2,0.0,0.0,0.0
2010-03-01,A,180+,17212.5,3,0.0,0.0,0.0
2010-03-01,A,GCO,23375.0,3,19868.75,3377.69,16491.06
2010-04-01,A,Current,12074732.96,2103,0.0,0.0,0.0
2010-04-01,A,30+,26350.0,4,0.0,0.0,0.0
2010-04-01,A,60+,22950.0,3,0.0,0.0,0.0
2010-04-01,A,90+,25075.0,3,0.0,0.0,0.0
2010-04-01,A,120+,10200.0,1,0.0,0.0,0.0
2010-04-01,A,150+,9328.75,3,0.0,0.0,0.0
2010-04-01,A,180+,20612.5,3,0.0,0.0,0.0
2010-04-01,A,GCO,40587.5,6,34499.38,5864.89,28634.48
2010-05-01,A,Current,13351043.35,2314,0.0,0.0,0.0
2010-05-01,A,30+,29835.0,4,0.0,0.0,0.0
2010-05-01,A,60+,26350.0,4,0.0,0.0,0.0
2010-05-01,A,90+,31450.0,4,0.0,0.0,0.0
2010-05-01,A,120+,16575.0,2,0.0,0.0,0.0
2010-05-01,A,150+,16978.75,3,0.0,0.0,0.0
2010-05-01,A,180+,6587.5,2,0.0,0.0,0.0
2010-05-01,A,GCO,57162.5,8,48588.12,8259.98,40328.14
2010-06-01,A,Current,14643310.19,2544,0.0,0.0,0.0
2010-06-01,A,30+,57545.0,5,0.0,0.0,0.0
2010-06-01,A,60+,33235.0,5,0.0,0.0,0.0
2010-06-01,A,90+,26350.0,4,0.0,0.0,0.0
2010-06-01,A,120+,22950.0,3,0.0,0.0,0.0
2010-06-01,A,150+,25075.0,3,0.0,0.0,0.0
2010-06-01,A,180+,10200.0,1,0.0,0.0,0.0
2010-06-01,A,GCO,70528.75,12,59949.44,10191.4,49758.03
2010-07-01,A,Current,16368591.96,2800,0.0,0.0,0.0
2010-07-01,A,30+,3612.5,2,0.0,0.0,0.0
2010-07-01,A,60+,60945.0,6,0.0,0.0,0.0
2010-07-01,A,90+,29835.0,4,0.0,0.0,0.0
2010-07-01,A,120+,26350.0,4,0.0,0.0,0.0
2010-07-01,A,150+,31450.0,4,0.0,0.0,0.0
2010-07-01,A,180+,16575.0,2,0.0,0.0,0.0
2010-07-01,A,GCO,80728.75,13,68619.44,11665.3,56954.13
2010-08-01,A,Current,17185580.76,2972,0.0,0.0,0.0
2010-08-01,A,30+,5950.0,1,0.0,0.0,0.0
2010-08-01,A,60+,11028.75,3,0.0,0.0,0.0
2010-08-01,A,90+,57545.0,5,0.0,0.0,0.0
2010-08-01,A,120+,33235.0,5,0.0,0.0,0.0
2010-08-01,A,150+,26350.0,4,0.0,0.0,0.0
2010-08-01,A,180+,22950.0,3,0.0,0.0,0.0
2010-08-01,A,GCO,105803.75,16,89933.19,15288.64,74644.55
2010-09-01,A,Current,18384836.01,3198,0.0,0.0,0.0
2010-09-01,A,30+,30536.25,6,0.0,0.0,0.0
2010-09-01,A,60+,20400.0,3,0.0,0.0,0.0
2010-09-01,A,90+,11028.75,3,0.0,0.0,0.0
2010-09-01,A,120+,38760.0,3,0.0,0.0,0.0
2010-09-01,A,150+,27795.0,4,0.0,0.0,0.0
2010-09-01,A,180+,24225.0,3,0.0,0.0,0.0
2010-09-01,A,GCO,155103.75,23,131838.19,22412.49,109425.7
2010-10-01,A,Current,20658837.46,3493,0.0,0.0,0.0
2010-10-01,A,30+,19295.0,5,0.0,0.0,0.0
2010-10-01,A,60+,41161.25,7,0.0,0.0,0.0
2010-10-01,A,90+,9775.0,2,0.0,0.0,0.0
2010-10-01,A,120+,11028.75,3,0.0,0.0,0.0
2010-10-01,A,150+,43520.0,4,0.0,0.0,0.0
2010-10-01,A,180+,47260.0,6,0.0,0.0,0.0
2010-10-01,A,GCO,155103.75,23,131838.19,22412.49,109425.7
2010-11-01,A,Current,22505562.23,3829,0.0,0.0,0.0
2010-11-01,A,30+,12112.5,3,0.0,0.0,0.0
2010-11-01,A,60+,25670.0,6,0.0,0.0,0.0
2010-11-01,A,90+,14025.0,3,0.0,0.0,0.0
2010-11-01,A,120+,36911.25,6,0.0,0.0,0.0
2010-11-01,A,150+,11028.75,3,0.0,0.0,0.0
2010-11-01,A,180+,23460.0,2,0.0,0.0,0.0
2010-11-01,A,GCO,222423.75,31,189060.19,32140.23,156919.96
2010-12-01,A,Current,25605872.14,4211,0.0,0.0,0.0
2010-12-01,A,30+,22100.0,4,0.0,0.0,0.0
2010-12-01,A,60+,8925.0,2,0.0,0.0,0.0
2010-12-01,A,90+,19295.0,5,0.0,0.0,0.0
2010-12-01,A,120+,41161.25,7,0.0,0.0,0.0
2010-12-01,A,150+,9775.0,2,0.0,0.0,0.0
2010-12-01,A,180+,11028.75,3,0.0,0.0,0.0
2010-12-01,A,GCO,245883.75,33,209001.19,35530.2,173470.99
2011-01-01,A,Current,28083682.46,4572,0.0,0.0,0.0
2011-01-01,A,30+,40247.5,7,0.0,0.0,0.0
2011-01-01,A,60+,21887.5,4,0.0,0.0,0.0
2011-01-01,A,90+,12112.5,3,0.0,0.0,0.0
2011-01-01,A,120+,25670.0,6,0.0,0.0,0.0
2011-01-01,A,150+,14025.0,3,0.0,0.0,0.0
2011-01-01,A,180+,36911.25,6,0.0,0.0,0.0
2011-01-01,A,GCO,256912.5,36,218375.62,37123.86,181251.77
2011-02-01,A,Current,29793238.65,4888,0.0,0.0,0.0
2011-02-01,A,30+,27625.0,5,0.0,0.0,0.0
2011-02-01,A,60+,12835.0,4,0.0,0.0,0.0
2011-02-01,A,90+,49300.0,7,0.0,0.0,0.0
2011-02-01,A,120+,9562.5,2,0.0,0.0,0.0
2011-02-01,A,150+,25245.0,6,0.0,0.0,0.0
2011-02-01,A,180+,15725.0,3,0.0,0.0,0.0
2011-02-01,A,GCO,295098.75,43,250833.94,42641.77,208192.17
2011-03-01,A,Current,32625064.83,5244,0.0,0.0,0.0
2011-03-01,A,30+,27625.0,5,0.0,0.0,0.0
2011-03-01,A,60+,12835.0,4,0.0,0.0,0.0
2011-03-01,A,90+,49300.0,7,0.0,0.0,0.0
2011-03-01,A,120+,9562.5,2,0.0,0.0,0.0
2011-03-01,A,150+,25245.0,6,0.0,0.0,0.0
2011-03-01,A,180+,15725.0,3,0.0,0.0,0.0
2011-03-01,A,GCO,295098.75,43,250833.94,42641.77,208192.17
2011-04-01,A,Current,34133393.88,5580,0.0,0.0,0.0
2011-04-01,A,30+,25925.0,4,0.0,0.0,0.0
2011-04-01,A,60+,25925.0,5,0.0,0.0,0.0
2011-04-01,A,90+,15385.0,4,0.0,0.0,0.0
2011-04-01,A,120+,51850.0,8,0.0,0.0,0.0
2011-04-01,A,150+,9562.5,2,0.0,0.0,0.0
2011-04-01,A,180+,25245.0,6,0.0,0.0,0.0
2011-04-01,A,GCO,310823.75,46,264200.19,44914.03,219286.16
2011-05-01,A,Current,36378347.04,5955,0.0,0.0,0.0
2011-05-01,A,30+,20400.0,3,0.0,0.0,0.0
2011-05-01,A,60+,20825.0,4,0.0,0.0,0.0
2011-05-01,A,90+,27625.0,5,0.0,0.0,0.0
2011-05-01,A,120+,12835.0,4,0.0,0.0,0.0
2011-05-01,A,150+,49300.0,7,0.0,0.0,0.0
2011-05-01,A,180+,9562.5,2,0.0,0.0,0.0
2011-05-01,A,GCO,336068.75,52,285658.44,48561.93,237096.5
2011-06-01,A,Current,38540209.12,6402,0.0,0.0,0.0
2011-06-01,A,30+,59075.0,10,0.0,0.0,0.0
2011-06-01,A,60+,11900.0,2,0.0,0.0,0.0
2011-06-01,A,90+,13175.0,3,0.0,0.0,0.0
2011-06-01,A,120+,38675.0,6,0.0,0.0,0.0
2011-06-01,A,150+,15385.0,4,0.0,0.0,0.0
2011-06-01,A,180+,51850.0,8,0.0,0.0,0.0
2011-06-01,A,GCO,345631.25,54,293786.56,49943.72,243842.85
2011-07-01,A,Current,41244721.73,6843,0.0,0.0,0.0
2011-07-01,A,30+,79050.0,13,0.0,0.0,0.0
2011-07-01,A,60+,26350.0,5,0.0,0.0,0.0
2011-07-01,A,90+,20400.0,3,0.0,0.0,0.0
2011-07-01,A,120+,20825.0,4,0.0,0.0,0.0
2011-07-01,A,150+,27625.0,5,0.0,0.0,0.0
2011-07-01,A,180+,12835.0,4,0.0,0.0,0.0
2011-07-01,A,GCO,394931.25,61,335691.56,57067.57,278624.0
2011-08-01,A,Current,44433269.11,7353,0.0,0.0,0.0
2011-08-01,A,30+,55675.0,9,0.0,0.0,0.0
2011-08-01,A,60+,47345.0,9,0.0,0.0,0.0
2011-08-01,A,90+,59075.0,10,0.0,0.0,0.0
2011-08-01,A,120+,11900.0,2,0.0,0.0,0.0
2011-08-01,A,150+,13175.0,3,0.0,0.0,0.0
2011-08-01,A,180+,38675.0,6,0.0,0.0,0.0
2011-08-01,A,GCO,412866.25,66,350936.31,59659.17,291277.14
2011-09-01,A,Current,48657161.67,7965,0.0,0.0,0.0
2011-09-01,A,30+,88570.0,14,0.0,0.0,0.0
2011-09-01,A,60+,46112.5,8,0.0,0.0,0.0
2011-09-01,A,90+,61370.0,10,0.0,0.0,0.0
2011-09-01,A,120+,54400.0,10,0.0,0.0,0.0
2011-09-01,A,150+,15300.0,2,0.0,0.0,0.0
2011-09-01,A,180+,14450.0,3,0.0,0.0,0.0
2011-09-01,A,GCO,453666.25,73,385616.31,65554.77,320061.54
2011-10-01,A,Current,54222703.74,8647,0.0,0.0,0.0
2011-10-01,A,30+,112837.5,20,0.0,0.0,0.0
2011-10-01,A,60+,59117.5,11,0.0,0.0,0.0
2011-10-01,A,90+,55675.0,9,0.0,0.0,0.0
