month_date,grade,dpd_bucket,count
2007-06-01,E,Current,1
2007-07-01,A,Current,13
2007-07-01,B,Current,7
2007-07-01,C,Current,9
2007-07-01,E,Current,1
2007-07-01,F,Current,1
2007-08-01,A,Current,23
2007-08-01,B,Current,16
2007-08-01,C,Current,13
2007-08-01,D,Current,5
2007-08-01,E,Current,3
2007-08-01,F,Current,4
2007-09-01,A,Current,28
2007-09-01,B,Current,20
2007-09-01,C,Current,18
2007-09-01,D,Current,8
2007-09-01,E,Current,3
2007-09-01,F,Current,5
2007-10-01,A,Current,36
2007-10-01,B,Current,28
2007-10-01,C,Current,36
2007-10-01,D,Current,16
2007-10-01,E,Current,7
2007-10-01,F,Current,6
2007-11-01,A,Current,47
2007-11-01,B,Current,36
2007-11-01,C,Current,51
2007-11-01,D,Current,18
2007-11-01,E,Current,8
2007-11-01,F,Current,6
2007-12-01,A,Current,57
2007-12-01,B,Current,61
2007-12-01,C,Current,75
2007-12-01,D,Current,37
2007-12-01,E,Current,14
2007-12-01,F,Current,7
2008-01-01,A,Current,99
2008-01-01,B,Current,108
2008-01-01,C,Current,119
2008-01-01,D,Current,61
2008-01-01,E,Current,24
2008-01-01,F,Current,10
2008-01-01,G,Current,1
2008-02-01,A,Current,129
2008-02-01,B,Current,180
2008-02-01,C,Current,153
2008-02-01,D,Current,89
2008-02-01,E,Current,30
2008-02-01,F,Current,13
2008-02-01,G,Current,1
2008-03-01,A,Current,160
2008-03-01,B,Current,257
2008-03-01,C,Current,222
2008-03-01,D,Current,131
2008-03-01,E,Current,44
2008-03-01,F,Current,15
2008-03-01,G,Current,2
2008-04-01,A,Current,183
2008-04-01,B,Current,307
2008-04-01,C,60+,1
2008-04-01,C,Current,271
2008-04-01,D,Current,154
2008-04-01,E,Current,48
2008-04-01,F,Current,20
2008-04-01,G,Current,2
2008-05-01,A,Current,202
2008-05-01,B,Current,328
2008-05-01,C,90+,1
2008-05-01,C,Current,288
2008-05-01,D,Current,164
2008-05-01,E,Current,51
2008-05-01,F,Current,20
2008-05-01,G,Current,2
2008-06-01,A,Current,216
2008-06-01,B,Current,350
2008-06-01,C,120+,1
2008-06-01,C,30+,1
2008-06-01,C,60+,1
2008-06-01,C,Current,310
2008-06-01,D,30+,1
2008-06-01,D,Current,167
2008-06-01,E,Current,52
2008-06-01,F,Current,20
2008-06-01,G,Current,2
2008-07-01,A,Current,235
2008-07-01,B,Current,373
2008-07-01,C,150+,1
2008-07-01,C,60+,1
2008-07-01,C,90+,1
2008-07-01,C,Current,338
2008-07-01,D,30+,3
2008-07-01,D,60+,1
2008-07-01,D,Current,175
2008-07-01,E,Current,54
2008-07-01,F,Current,20
2008-07-01,G,Current,2
2008-08-01,A,Current,245
2008-08-01,B,30+,2
2008-08-01,B,Current,390
2008-08-01,C,120+,1
2008-08-01,C,180+,1
2008-08-01,C,30+,1
2008-08-01,C,90+,1
2008-08-01,C,Current,358
2008-08-01,D,30+,3
2008-08-01,D,60+,3
2008-08-01,D,90+,1
2008-08-01,D,Current,183
2008-08-01,E,Current,58
2008-08-01,F,Current,23
2008-08-01,G,Current,2
2008-09-01,A,Current,253
2008-09-01,B,30+,1
2008-09-01,B,60+,2
2008-09-01,B,Current,395
2008-09-01,C,150+,2
2008-09-01,C,30+,2
2008-09-01,C,60+,1
2008-09-01,C,Current,368
2008-09-01,C,GCO,1
2008-09-01,D,120+,1
2008-09-01,D,30+,4
2008-09-01,D,60+,3
2008-09-01,D,90+,4
2008-09-01,D,Current,181
2008-09-01,E,30+,1
2008-09-01,E,Current,58
2008-09-01,F,Current,24
2008-09-01,G,Current,2
2008-10-01,A,Current,274
2008-10-01,B,30+,1
2008-10-01,B,60+,1
2008-10-01,B,90+,2
2008-10-01,B,Current,420
2008-10-01,C,180+,2
2008-10-01,C,30+,3
2008-10-01,C,60+,2
2008-10-01,C,90+,1
2008-10-01,C,Current,396
2008-10-01,C,GCO,1
2008-10-01,D,120+,4
2008-10-01,D,150+,1
2008-10-01,D,30+,2
2008-10-01,D,60+,4
2008-10-01,D,90+,3
2008-10-01,D,Current,189
2008-10-01,E,30+,1
2008-10-01,E,60+,1
2008-10-01,E,Current,61
2008-10-01,F,Current,24
2008-10-01,G,Current,2
2008-11-01,A,Current,305
2008-11-01,B,120+,2
2008-11-01,B,30+,2
2008-11-01,B,60+,1
2008-11-01,B,90+,1
2008-11-01,B,Current,490
2008-11-01,C,120+,1
2008-11-01,C,30+,4
2008-11-01,C,60+,3
2008-11-01,C,90+,2
2008-11-01,C,Current,435
2008-11-01,C,GCO,3
2008-11-01,D,120+,3
2008-11-01,D,150+,3
2008-11-01,D,180+,2
2008-11-01,D,30+,3
2008-11-01,D,60+,3
2008-11-01,D,90+,4
2008-11-01,D,Current,213
2008-11-01,E,30+,1
2008-11-01,E,60+,1
2008-11-01,E,90+,1
2008-11-01,E,Current,76
2008-11-01,F,Current,24
2008-11-01,G,Current,4
2008-12-01,A,Current,352
2008-12-01,B,120+,1
2008-12-01,B,150+,2
2008-12-01,B,60+,2
2008-12-01,B,90+,1
2008-12-01,B,Current,560
2008-12-01,C,120+,2
2008-12-01,C,150+,1
2008-12-01,C,30+,1
2008-12-01,C,60+,4
2008-12-01,C,90+,3
2008-12-01,C,Current,499
2008-12-01,C,GCO,3
2008-12-01,D,120+,4
2008-12-01,D,150+,3
2008-12-01,D,180+,4
2008-12-01,D,30+,1
2008-12-01,D,60+,4
2008-12-01,D,90+,2
2008-12-01,D,Current,239
2008-12-01,D,GCO,1
2008-12-01,E,120+,1
2008-12-01,E,60+,1
2008-12-01,E,90+,1
2008-12-01,E,Current,86
2008-12-01,F,Current,28
2008-12-01,G,Current,4
2009-01-01,A,Current,412
2009-01-01,B,120+,1
2009-01-01,B,150+,1
2009-01-01,B,180+,2
2009-01-01,B,30+,1
2009-01-01,B,60+,1
2009-01-01,B,90+,2
2009-01-01,B,Current,618
2009-01-01,C,120+,3
2009-01-01,C,150+,2
2009-01-01,C,180+,1
2009-01-01,C,30+,1
2009-01-01,C,60+,1
2009-01-01,C,90+,4
2009-01-01,C,Current,551
2009-01-01,C,GCO,3
2009-01-01,D,120+,3
2009-01-01,D,150+,4
2009-01-01,D,180+,3
2009-01-01,D,30+,1
2009-01-01,D,60+,1
2009-01-01,D,90+,3
2009-01-01,D,Current,284
2009-01-01,D,GCO,5
2009-01-01,E,120+,1
2009-01-01,E,150+,1
2009-01-01,E,90+,1
2009-01-01,E,Current,96
2009-01-01,F,Current,30
2009-01-01,G,Current,4
2009-02-01,A,Current,475
2009-02-01,B,120+,2
2009-02-01,B,150+,1
2009-02-01,B,180+,1
2009-02-01,B,30+,5
2009-02-01,B,60+,1
2009-02-01,B,90+,1
2009-02-01,B,Current,649
2009-02-01,B,GCO,2
2009-02-01,C,120+,4
2009-02-01,C,150+,3
2009-02-01,C,180+,2
2009-02-01,C,30+,4
2009-02-01,C,60+,1
2009-02-01,C,90+,1
2009-02-01,C,Current,629
2009-02-01,C,GCO,4
2009-02-01,D,120+,3
2009-02-01,D,150+,3
2009-02-01,D,180+,4
2009-02-01,D,30+,2
2009-02-01,D,60+,1
2009-02-01,D,90+,1
2009-02-01,D,Current,327
2009-02-01,D,GCO,8
2009-02-01,E,120+,1
2009-02-01,E,150+,1
2009-02-01,E,180+,1
2009-02-01,E,Current,121
2009-02-01,F,Current,32
2009-02-01,G,Current,3
2009-03-01,A,Current,546
2009-03-01,B,120+,2
2009-03-01,B,150+,1
2009-03-01,B,180+,1
2009-03-01,B,30+,5
2009-03-01,B,60+,1
2009-03-01,B,90+,1
2009-03-01,B,Current,678
2009-03-01,B,GCO,2
2009-03-01,C,120+,4
2009-03-01,C,150+,3
2009-03-01,C,180+,2
2009-03-01,C,30+,4
2009-03-01,C,60+,1
2009-03-01,C,90+,1
2009-03-01,C,Current,725
2009-03-01,C,GCO,4
2009-03-01,D,120+,3
2009-03-01,D,150+,3
2009-03-01,D,180+,4
2009-03-01,D,30+,2
2009-03-01,D,60+,1
2009-03-01,D,90+,1
2009-03-01,D,Current,383
2009-03-01,D,GCO,8
2009-03-01,E,120+,1
2009-03-01,E,150+,1
2009-03-01,E,180+,1
2009-03-01,E,Current,142
2009-03-01,F,Current,35
2009-03-01,G,Current,3
2009-04-01,A,Current,631
2009-04-01,B,120+,1
2009-04-01,B,150+,1
2009-04-01,B,180+,1
2009-04-01,B,30+,3
2009-04-01,B,60+,3
2009-04-01,B,90+,4
2009-04-01,B,Current,716
2009-04-01,B,GCO,4
2009-04-01,C,150+,3
2009-04-01,C,180+,3
2009-04-01,C,30+,5
2009-04-01,C,90+,5
2009-04-01,C,Current,796
2009-04-01,C,GCO,8
2009-04-01,D,120+,1
2009-04-01,D,150+,2
2009-04-01,D,180+,4
2009-04-01,D,30+,7
2009-04-01,D,90+,3
2009-04-01,D,Current,438
2009-04-01,D,GCO,12
2009-04-01,E,150+,1
2009-04-01,E,180+,1
2009-04-01,E,30+,2
2009-04-01,E,60+,1
2009-04-01,E,Current,166
2009-04-01,E,GCO,1
2009-04-01,F,60+,1
2009-04-01,F,Current,36
2009-04-01,G,30+,1
2009-04-01,G,Current,3
2009-05-01,A,30+,1
2009-05-01,A,Current,705
2009-05-01,B,120+,1
2009-05-01,B,150+,1
2009-05-01,B,180+,2
2009-05-01,B,30+,4
2009-05-01,B,60+,4
2009-05-01,B,90+,5
2009-05-01,B,Current,823
2009-05-01,B,GCO,4
2009-05-01,C,120+,1
2009-05-01,C,150+,1
2009-05-01,C,180+,4
2009-05-01,C,30+,1
2009-05-01,C,60+,5
2009-05-01,C,90+,4
2009-05-01,C,Current,878
2009-05-01,C,GCO,9
2009-05-01,D,120+,1
2009-05-01,D,150+,1
2009-05-01,D,180+,3
2009-05-01,D,30+,5
2009-05-01,D,60+,5
2009-05-01,D,90+,2
2009-05-01,D,Current,466
2009-05-01,D,GCO,15
2009-05-01,E,180+,1
2009-05-01,E,60+,3
2009-05-01,E,Current,180
2009-05-01,E,GCO,2
2009-05-01,F,30+,2
2009-05-01,F,60+,1
2009-05-01,F,Current,41
2009-05-01,G,60+,1
2009-05-01,G,Current,3
2009-06-01,A,60+,2
2009-06-01,A,Current,798
2009-06-01,B,120+,3
2009-06-01,B,150+,4
2009-06-01,B,180+,1
2009-06-01,B,60+,3
2009-06-01,B,90+,4
2009-06-01,B,Current,945
2009-06-01,B,GCO,6
2009-06-01,C,150+,5
2009-06-01,C,30+,7
2009-06-01,C,90+,6
2009-06-01,C,Current,955
2009-06-01,C,GCO,14
2009-06-01,D,120+,1
2009-06-01,D,150+,3
2009-06-01,D,180+,1
