month_date,grade,from_bucket,to_bucket,from_balance,to_balance,flow_rate
2007-06-01,E,Current,30+,7500.0,0.0,0.0
2007-07-01,A,Current,30+,64050.0,0.0,0.0
2007-07-01,B,Current,30+,31500.0,0.0,0.0
2007-07-01,C,Current,30+,73450.0,0.0,0.0
2007-07-01,E,Current,30+,7500.0,0.0,0.0
2007-07-01,F,Current,30+,2700.0,0.0,0.0
2007-08-01,A,Current,30+,107463.59,0.0,0.0
2007-08-01,B,Current,30+,67437.3,0.0,0.0
2007-08-01,C,Current,30+,91407.65,0.0,0.0
2007-08-01,D,Current,30+,34400.0,0.0,0.0
2007-08-01,E,Current,30+,33159.09,0.0,0.0
2007-08-01,F,Current,30+,39091.04,0.0,0.0
2007-09-01,A,Current,30+,136251.67,0.0,0.0
2007-09-01,B,Current,30+,118457.33,0.0,0.0
2007-09-01,C,Current,30+,127480.51,0.0,0.0
2007-09-01,D,Current,30+,49899.52,0.0,0.0
2007-09-01,E,Current,30+,32759.72,0.0,0.0
2007-09-01,F,Current,30+,40042.16,0.0,0.0
2007-10-01,A,Current,30+,181222.31,0.0,0.0
2007-10-01,B,Current,30+,146414.79,0.0,0.0
2007-10-01,C,Current,30+,224237.01,0.0,0.0
2007-10-01,D,Current,30+,89286.45,0.0,0.0
2007-10-01,E,Current,30+,61635.77,0.0,0.0
2007-10-01,F,Current,30+,59283.69,0.0,0.0
2007-11-01,A,Current,30+,242685.26,0.0,0.0
2007-11-01,B,Current,30+,286007.46,0.0,0.0
2007-11-01,C,Current,30+,340637.96,0.0,0.0
2007-11-01,D,Current,30+,115580.42,0.0,0.0
2007-11-01,E,Current,30+,62210.96,0.0,0.0
2007-11-01,F,Current,30+,58076.64,0.0,0.0
2007-12-01,A,Current,30+,296185.38,0.0,0.0
2007-12-01,B,Current,30+,528690.32,0.0,0.0
2007-12-01,C,Current,30+,620232.16,0.0,0.0
2007-12-01,D,Current,30+,325739.04,0.0,0.0
2007-12-01,E,Current,30+,166180.24,0.0,0.0
2007-12-01,F,Current,30+,68854.02,0.0,0.0
2008-01-01,A,Current,30+,548314.77,0.0,0.0
2008-01-01,B,Current,30+,1041311.24,0.0,0.0
2008-01-01,C,Current,30+,977740.01,0.0,0.0
2008-01-01,D,Current,30+,596189.26,0.0,0.0
2008-01-01,E,Current,30+,310560.72,0.0,0.0
2008-01-01,F,Current,30+,136353.58,0.0,0.0
2008-01-01,G,Current,30+,13875.0,0.0,0.0
2008-02-01,A,Current,30+,724279.23,0.0,0.0
2008-02-01,B,Current,30+,1702098.0,0.0,0.0
2008-02-01,C,Current,30+,1286138.54,0.0,0.0
2008-02-01,D,Current,30+,881500.03,0.0,0.0
2008-02-01,E,Current,30+,381478.47,0.0,0.0
2008-02-01,F,Current,30+,177761.5,0.0,0.0
2008-02-01,G,Current,30+,13583.16,0.0,0.0
2008-03-01,A,Current,30+,919169.85,0.0,0.0
2008-03-01,B,Current,30+,2591153.25,0.0,0.0
2008-03-01,C,Current,30+,1969715.72,0.0,0.0
2008-03-01,D,Current,30+,1404965.03,0.0,0.0
2008-03-01,E,Current,30+,604912.81,0.0,0.0
2008-03-01,F,Current,30+,212096.82,0.0,0.0
2008-03-01,G,Current,30+,38583.16,0.0,0.0
2008-04-01,A,Current,30+,1021224.43,0.0,0.0
2008-04-01,B,Current,30+,2909306.0,0.0,0.0
2008-04-01,C,Current,30+,2197941.79,0.0,0.0
2008-04-01,C,60+,90+,2698.75,2698.75,1.0
2008-04-01,D,Current,30+,1516304.56,0.0,0.0
2008-04-01,E,Current,30+,639928.29,0.0,0.0
2008-04-01,F,Current,30+,263106.44,0.0,0.0
2008-04-01,G,Current,30+,37752.56,0.0,0.0
2008-05-01,A,Current,30+,1091761.82,0.0,0.0
2008-05-01,B,Current,30+,2960232.86,0.0,0.0
2008-05-01,C,Current,30+,2245015.48,7246.25,0.003228
2008-05-01,C,90+,120+,2698.75,2698.75,1.0
2008-05-01,D,Current,30+,1561761.97,7650.0,0.004898
2008-05-01,E,Current,30+,654847.04,0.0,0.0
