vintage_year,mob,cum_defaults,cohort_size,cum_default_rate,cum_default_amount,cohort_funded,cum_loss_rate
2007,1,0,251,0.0,0.0,2152175.0,0.0
2007,2,0,251,0.0,0.0,2152175.0,0.0
2007,3,0,251,0.0,0.0,2152175.0,0.0
2007,4,0,251,0.0,0.0,2152175.0,0.0
2007,5,0,251,0.0,0.0,2152175.0,0.0
2007,6,0,251,0.0,0.0,2152175.0,0.0
2007,7,4,251,0.01593625498007968,24400.0,2152175.0,0.011337368011430296
2007,8,5,251,0.0199203187250996,26500.0,2152175.0,0.012313125094381266
2007,9,6,251,0.02390438247011952,33300.0,2152175.0,0.015472719458222496
2007,10,10,251,0.0398406374501992,70800.0,2152175.0,0.03289695308234693
2007,11,11,251,0.043824701195219126,95800.0,2152175.0,0.044513108831763216
2007,12,11,251,0.043824701195219126,95800.0,2152175.0,0.044513108831763216
2007,13,12,251,0.04780876494023904,120800.0,2152175.0,0.056129264581179505
2007,14,15,251,0.05976095617529881,171800.0,2152175.0,0.07982622230998873
2007,15,17,251,0.06772908366533864,216800.0,2152175.0,0.10073530265893806
2007,16,19,251,0.07569721115537849,237800.0,2152175.0,0.11049287348844773
2007,17,19,251,0.07569721115537849,237800.0,2152175.0,0.11049287348844773
2007,18,23,251,0.09163346613545817,273425.0,2152175.0,0.12704589543136593
2007,19,24,251,0.09561752988047809,295775.0,2152175.0,0.13743073867134412
2007,20,27,251,0.10756972111553785,329750.0,2152175.0,0.15321709433480085
2007,21,29,251,0.11553784860557768,335750.0,2152175.0,0.15600497171466074
2007,22,30,251,0.11952191235059761,350150.0,2152175.0,0.16269587742632452
2007,23,30,251,0.11952191235059761,350150.0,2152175.0,0.16269587742632452
2007,24,31,251,0.12350597609561753,354800.0,2152175.0,0.16485648239571596
2007,25,31,251,0.12350597609561753,354800.0,2152175.0,0.16485648239571596
2007,26,34,251,0.13545816733067728,380975.0,2152175.0,0.1770185974653548
2007,27,36,251,0.14342629482071714,389975.0,2152175.0,0.18120041353514468
2007,28,37,251,0.14741035856573706,399575.0,2152175.0,0.18566101734292054
2007,29,39,251,0.1553784860557769,413575.0,2152175.0,0.19216606456259366
2007,30,41,251,0.16334661354581673,441850.0,2152175.0,0.2053039367151835
2007,31,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,32,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,33,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,34,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,35,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,36,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,37,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,38,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,39,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,40,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,41,43,251,0.17131474103585656,446850.0,2152175.0,0.20762716786506674
2007,42,44,251,0.1752988047808765,447750.0,2152175.0,0.20804534947204573
2007,43,44,251,0.1752988047808765,447750.0,2152175.0,0.20804534947204573
2007,44,44,251,0.1752988047808765,447750.0,2152175.0,0.20804534947204573
2007,45,44,251,0.1752988047808765,447750.0,2152175.0,0.20804534947204573
2007,46,44,251,0.1752988047808765,447750.0,2152175.0,0.20804534947204573
2007,47,44,251,0.1752988047808765,447750.0,2152175.0,0.20804534947204573
2007,48,44,251,0.1752988047808765,447750.0,2152175.0,0.20804534947204573
2007,49,45,251,0.17928286852589642,463200.0,2152175.0,0.21522413372518498
2007,50,45,251,0.17928286852589642,463200.0,2152175.0,0.21522413372518498
2007,51,45,251,0.17928286852589642,463200.0,2152175.0,0.21522413372518498
2007,52,45,251,0.17928286852589642,463200.0,2152175.0,0.21522413372518498
2007,53,45,251,0.17928286852589642,463200.0,2152175.0,0.21522413372518498
2008,1,3,1562,0.0019206145966709346,14950.0,13457075.0,0.0011109397844628198
