month_date,total_ecl,nco_amount,provision,alll_reserve,nco_coverage_ratio
2007-06-01,-46.14485360128151,0.0,0.0,-46.14485360128151,
2007-07-01,-1145.4884441268114,0.0,-1099.3435905255299,-1145.4884441268114,
2007-08-01,-2457.7078207807485,0.0,-1312.2193766539372,-2457.7078207807485,
2007-09-01,-3122.3938795456456,0.0,-664.6860587648971,-3122.3938795456456,
2007-10-01,-4527.026541635275,0.0,-1404.6326620896293,-4527.026541635275,
2007-11-01,-6422.700986059076,0.0,-1895.674444423801,-6422.700986059076,
2007-12-01,-11592.999040481136,0.0,-5170.29805442206,-11592.999040481136,
2008-01-01,-21451.885419733222,0.0,-9858.886379252086,-21451.885419733222,
2008-02-01,-29356.322581798657,0.0,-7904.437162065435,-29356.322581798657,
2008-03-01,-42429.98936375629,0.0,-13073.666781957636,-42429.98936375629,
2008-04-01,-43880.70920189442,0.0,-1450.719838138124,-43880.70920189442,
2008-05-01,-40462.77701678556,0.0,3417.9321851088534,-40462.77701678556,
2008-06-01,-36963.43004344175,0.0,3499.3469733438105,-36963.43004344175,
2008-07-01,-34118.072498018446,0.0,2845.357545423307,-34118.072498018446,
2008-08-01,-30106.04191737064,0.0,4012.0305806478063,-30106.04191737064,
2008-09-01,-25051.274195092963,0.0,5054.7677222776765,-25051.274195092963,
2008-10-01,-23844.689577496123,2068.3088775830956,3274.8934951799356,-23844.689577496123,-11.52859219236134
2008-11-01,-28051.88930615984,0.0,-4207.199728663716,-28051.88930615984,-13.562717643478681
2008-12-01,-34453.67374426425,21229.673553183286,14827.889115078877,-34453.67374426425,-1.478826496957355
2009-01-01,-39761.86941983906,28137.886137672245,22829.690462097435,-39761.86941983906,-0.7730377755152207
2009-02-01,-44778.06212168944,41803.590907613456,36787.39820576307,-44778.06212168944,-0.4802479805579566
2009-03-01,-50554.650161207814,31473.84918272143,25697.26114320306,-50554.650161207814,-0.40536692278391667
2009-04-01,-55573.01349553449,41842.796513642,36824.433179315325,-55573.01349553449,-0.33365942027766815
2009-05-01,-61579.93606113198,124107.54965790368,118100.6270923062,-61579.93606113198,-0.21185977344529197
2009-06-01,-67345.53580166961,-227.0446434963851,-5992.644384034018,-67345.53580166961,-0.23187688273303328
2009-07-01,-74007.00620703891,45916.377193645385,39254.90678827609,-74007.00620703891,-0.22002779515475313
2009-08-01,-81209.88208198192,33383.89968650492,26181.023811561907,-81209.88208198192,-0.21964235899263085
2009-09-01,-90803.20640249683,77326.59565462713,67733.27133411223,-90803.20640249683,-0.2031103185831948
2009-10-01,-104429.23442885447,82834.73163365424,69208.7036072966,-104429.23442885447,-0.19784637692013474
2009-11-01,-118741.5705607396,47737.13509224842,33424.798960363296,-118741.5705607396,-0.20630363136006374
2009-12-01,-132547.30469994392,119636.50722629818,105830.77308709385,-132547.30469994392,-0.19666534529815827
