grade,scenario,total_ecl,total_ead,count,alll_ratio,ftr,ecl_scaling
A,baseline,76413639.81193833,1654163802.2890637,235095,0.046194723706440476,0.006100025988298193,1.0
A,central,36856072.31911623,1654163802.2890637,235095,0.02228078759075376,0.002942184137891071,0.48232321362812625
A,mild,164566982.1734106,1654163802.2890637,235095,0.09948650910247198,0.01313722092736608,2.1536335996875233
A,stress,382630526.89211744,1654163802.2890637,235095,0.23131356541753964,0.03054502002132727,5.007358998129257
B,baseline,336620479.44124943,2884720285.796932,392748,0.11669085598996116,0.01417641562985879,1.0
B,central,162359871.417144,2884720285.796932,392748,0.05628270866209494,0.006837614344321488,0.48232321362812614
B,mild,708163250.1294317,2884720285.796932,392748,0.24548766603684583,0.029823546637122014,2.1037438105515736
B,stress,1622062096.3770297,2884720285.796932,392748,0.5622944118233353,0.06831143040925462,4.818667298761688
C,baseline,683450395.7233568,3327625111.656917,381694,0.20538683679516045,0.028282535729314537,1.0
C,central,329643991.2207041,3327625111.656917,381694,0.09906283915995728,0.013641323522515288,0.48232321362812625
C,mild,1379562979.2394328,3327625111.656917,381694,0.41457884615869783,0.05708905795552741,2.018526857065197
C,stress,3111009474.702873,3327625111.656917,381694,0.9349038339098887,0.1287397551791528,4.551916999638595
D,baseline,586731112.6821638,2047266226.9225864,200966,0.28659248365764695,0.04063119740448536,1.0
D,central,282994035.8044675,2047266226.9225864,200966,0.13823020771942252,0.01959736970569016,0.4823232136281262
D,mild,1158615634.0380986,2047266226.9225864,200966,0.5659330568744392,0.08023426664272754,1.974696089903329
D,stress,2601155718.2904086,2047266226.9225864,200966,1.2705507882091225,0.1801303342966158,4.4333011528902375
E,baseline,435926009.3001963,1200356891.958043,93656,0.3631636659236456,0.05396217882195796,1.0
E,central,210257233.70975503,1200356891.958043,93656,0.1751622664212639,0.026027211503782368,0.482323213628126
E,mild,840871252.2635251,1200356891.958043,93656,0.700517702607498,0.10408932688767564,1.9289311358443564
E,stress,1881514507.059396,1200356891.958043,93656,1.5674625768926413,0.23290792501469929,4.316132708116778
F,baseline,199877733.24690488,472994587.6847104,32059,0.4225793242694349,0.06258570895874534,1.0
F,central,96405670.63235252,472994587.6847104,32059,0.20381981769443583,0.030186540272176654,0.48232321362812614
F,mild,373602188.08087933,472994587.6847104,32059,0.7898656724797785,0.11698230428047154,1.869153617123405
F,stress,834846581.7247506,472994587.6847104,32059,1.7650235403565426,0.261407132952053,4.176786319131815
G,baseline,69025345.93852538,149716495.3402161,9132,0.4610403535139667,0.06018158643253714,1.0
G,central,33292526.67486268,149716495.3402161,9132,0.22237046491910373,0.02902697616938014,0.482323213628126
G,mild,127578495.14158909,149716495.3402161,9132,0.8521338604118366,0.11123270920126285,1.8482847627480448
G,stress,285085242.9897596,149716495.3402161,9132,1.9041672218009864,0.24855916270103376,4.1301530490504055
