segment,total_ecl,count,mean_ecl,total_ead,alll_ratio
2007,233811.93466867378,251,931.5216520664294,1189677.8402184187,0.19653382349775222
2008,1242657.4656613944,1562,795.5553557371283,7619704.465593693,0.163084732652367
2009,2871538.5045615803,4716,608.8928126720908,26096862.662801728,0.11003385892261486
2010,8457638.213211881,11536,733.1517175114321,69866271.56214216,0.1210546666382402
2011,24665113.125936124,21721,1135.5422460262475,160400935.05591944,0.15377162930713154
2012,69866877.98128992,53367,1309.1775438246468,435201647.66094756,0.16053909344507145
2013,188135735.17522427,134804,1395.6242780275384,1210860993.6033504,0.15537352030422505
2014,373209220.6004141,223103,1672.8113050941229,1989880456.289601,0.18755358866949864
2015,696044085.3604038,375546,1853.4189829219424,3310469312.362021,0.21025541084498864
2016,559326426.7436092,293105,1908.2800591720004,2540116268.1394815,0.22019717512903064
2017,335204156.9140502,169321,1979.6962982385542,1477219351.490453,0.22691562805201757
2018,109808319.07585552,56318,1949.7908142308945,507921920.5159389,0.21619133697619117
