grade,scenario,stress_multiplier,flow_rate_30,flow_rate_60,flow_rate_90,flow_rate_120,flow_rate_150,flow_rate_180,flow_rate_gco,flow_through_rate
A,baseline,0.0,0.008453137158326934,0.9467999165851859,0.9481473593433892,0.948638645937276,0.9482260294240493,0.9468370893267593,0.9438256395952754,0.006100025988298193
B,baseline,0.0,0.018904747494935283,0.9503370995951617,0.9535740065592188,0.9549107860246667,0.9547998249836572,0.953884374476798,0.9514645337092618,0.01417641562985879
C,baseline,0.0,0.03562789638045622,0.959877423530117,0.9618460970118012,0.9631450982753303,0.9639046118918101,0.9629585670759412,0.961774861649781,0.028282535729314537
D,baseline,0.0,0.04984990748480155,0.9647577407288183,0.9667987379690377,0.9672246470758775,0.9672663971814016,0.9673451171417443,0.9655750130419847,0.04063119740448536
E,baseline,0.0,0.06445576509807203,0.9694968477642263,0.9710439562110412,0.9715547930688242,0.9716554807641967,0.9711388839369638,0.9700217477735237,0.05396217882195796
F,baseline,0.0,0.07234273696549667,0.9752993122736605,0.9750310561948964,0.9770259136462879,0.9771763814911135,0.9765470309783798,0.975779445882119,0.06258570895874534
G,baseline,0.0,0.06878714411723079,0.97285913091212,0.9772696825819737,0.9786683830084564,0.9792396174115249,0.9799802788562432,0.9798285683040956,0.06018158643253714
A,central,-0.4354338096657299,0.005325549409571044,0.9055730471181975,0.9068618176630499,0.9073317119776152,0.9069370621824171,0.9056086012329231,0.902728280204359,0.002942184137891071
A,mild,0.61705665540779,0.013669201700947462,0.9933114702814752,0.9939371101031217,0.994128276438602,0.9939677217078731,0.993330838407178,0.9917617817683951,0.01313722092736608
A,stress,2.6134537331194583,0.03054502002132727,1.0,1.0,1.0,1.0,1.0,1.0,0.03054502002132727
B,central,-0.4354338096657299,0.011910154179926824,0.9089562092208215,0.9120521703117893,0.913330741879705,0.9132246124575767,0.9123490237608936,0.9100345510417767,0.006837614344321488
B,mild,0.61705665540779,0.030570047755488845,0.9947891679951828,0.9960486927823624,0.9965688519622278,0.9965256755029985,0.9961694611855563,0.9952278680345689,0.029823546637122014
B,stress,2.6134537331194583,0.06831143040925462,1.0,1.0,1.0,1.0,1.0,1.0,0.06831143040925462
C,central,-0.4354338096657299,0.022445882396015734,0.9180811151961326,0.919964065978405,0.9212065043350403,0.9219329461607684,0.9210280953347283,0.9198959324448915,0.013641323522515288
C,mild,0.61705665540779,0.057612326960195845,0.9978713705997131,0.9983797457132497,0.9987151898186206,0.9988884965588744,0.9986670214349096,0.9983613504407012,0.05708905795552741
C,stress,2.6134537331194583,0.1287397551791528,1.0,1.0,1.0,1.0,1.0,1.0,0.1287397551791528
D,central,-0.4354338096657299,0.03140587221057231,0.9227489268838132,0.92470105220365,0.9251084157879934,0.9251483479527673,0.9252236401798871,0.9235306123972938,0.01959736970569016
D,mild,0.61705665540779,0.08061012466976095,0.9989981472936919,0.9992604720885441,0.9993152132302152,0.9993205792775821,0.9993306969774206,0.9991031894699698,0.08023426664272754
D,stress,2.6134537331194583,0.1801303342966158,1.0,1.0,1.0,1.0,1.0,1.0,0.1801303342966158
E,central,-0.4354338096657299,0.04060768864058356,0.927281677176137,0.9287614192904556,0.9292500125843284,0.9293463159970227,0.9288522135422441,0.92778372126436,0.026027211503782368
E,mild,0.61705665540779,0.10422862393123852,0.9996072540853856,0.9998061004620133,0.9998717571769173,0.9998846983404389,0.9998183013095882,0.9996747183055931,0.10408932688767564
E,stress,2.6134537331194583,0.23290792501469929,1.0,1.0,1.0,1.0,1.0,1.0,0.23290792501469929
F,central,-0.4354338096657299,0.045576549027580994,0.932831482762892,0.9325749074607619,0.9344829020741735,0.9346268180403088,0.9340248715767124,0.9332907097307224,0.030186540272176654
F,mild,0.61705665540779,0.11698230428047154,1.0,1.0,1.0,1.0,1.0,1.0,0.11698230428047154
F,stress,2.6134537331194583,0.261407132952053,1.0,1.0,1.0,1.0,1.0,1.0,0.261407132952053
G,central,-0.4354338096657299,0.04333649482769088,0.9304975551480044,0.9347160564862249,0.9360538527671791,0.9366002136930136,0.9373086242342774,0.9371635196724986,0.02902697616938014
G,mild,0.61705665540779,0.11123270920126285,1.0,1.0,1.0,1.0,1.0,1.0,0.11123270920126285
G,stress,2.6134537331194583,0.24855916270103376,1.0,1.0,1.0,1.0,1.0,1.0,0.24855916270103376
