grade,scenario,stress_multiplier,flow_rate_30,flow_rate_60,flow_rate_90,flow_rate_120,flow_rate_150,flow_rate_180,flow_rate_gco,flow_through_rate
A,baseline,0.0,0.008453137158326934,0.9467999165851859,0.9481473593433892,0.948638645937276,0.9482260294240493,0.9468370893267593,0.9438256395952754,0.006100025988298193
B,baseline,0.0,0.018904747494935283,0.9503370995951617,0.9535740065592188,0.9549107860246667,0.9547998249836572,0.953884374476798,0.9514645337092618,0.01417641562985879
C,baseline,0.0,0.03562789638045622,0.959877423530117,0.9618460970118012,0.9631450982753303,0.9639046118918101,0.9629585670759412,0.961774861649781,0.028282535729314537
D,baseline,0.0,0.04984990748480155,0.9647577407288183,0.9667987379690377,0.9672246470758775,0.9672663971814016,0.9673451171417443,0.9655750130419847,0.04063119740448536
E,baseline,0.0,0.06445576509807203,0.9694968477642263,0.9710439562110412,0.9715547930688242,0.9716554807641967,0.9711388839369638,0.9700217477735237,0.05396217882195796
F,baseline,0.0,0.07234273696549667,0.9752993122736605,0.9750310561948964,0.9770259136462879,0.9771763814911135,0.9765470309783798,0.975779445882119,0.06258570895874534
G,baseline,0.0,0.06878714411723079,0.97285913091212,0.9772696825819737,0.9786683830084564,0.9792396174115249,0.9799802788562432,0.9798285683040956,0.06018158643253714
A,central,-0.43543380966573014,0.0053255494095710435,0.9055730471181975,0.9068618176630499,0.9073317119776152,0.9069370621824171,0.9056086012329231,0.9027282802043588,0.0029421841378910693
A,mild,0.6170566554077903,0.013669201700947466,0.9933114702814752,0.9939371101031217,0.994128276438602,0.9939677217078731,0.9933308384071781,0.9917617817683952,0.013137220927366085
A,stress,2.61345373311946,0.030545020021327286,1.0,1.0,1.0,1.0,1.0,1.0,0.030545020021327286
B,central,-0.43543380966573014,0.01191015417992682,0.9089562092208214,0.9120521703117893,0.913330741879705,0.9132246124575766,0.9123490237608936,0.9100345510417767,0.006837614344321483
B,mild,0.6170566554077903,0.03057004775548885,0.9947891679951828,0.9960486927823624,0.9965688519622278,0.9965256755029985,0.9961694611855563,0.995227868034569,0.02982354663712202
B,stress,2.61345373311946,0.06831143040925466,1.0,1.0,1.0,1.0,1.0,1.0,0.06831143040925466
C,central,-0.43543380966573014,0.022445882396015727,0.9180811151961326,0.919964065978405,0.9212065043350403,0.9219329461607684,0.9210280953347282,0.9198959324448915,0.01364132352251528
C,mild,0.6170566554077903,0.05761232696019586,0.9978713705997131,0.9983797457132498,0.9987151898186206,0.9988884965588744,0.9986670214349096,0.9983613504407012,0.057089057955527434
C,stress,2.61345373311946,0.12873975517915284,1.0,1.0,1.0,1.0,1.0,1.0,0.12873975517915284
D,central,-0.43543380966573014,0.03140587221057231,0.922748926883813,0.92470105220365,0.9251084157879934,0.9251483479527673,0.9252236401798871,0.9235306123972938,0.019597369705690156
D,mild,0.6170566554077903,0.08061012466976097,0.998998147293692,0.9992604720885441,0.9993152132302153,0.9993205792775821,0.9993306969774207,0.9991031894699698,0.0802342666427276
D,stress,2.61345373311946,0.1801303342966159,1.0,1.0,1.0,1.0,1.0,1.0,0.1801303342966159
E,central,-0.43543380966573014,0.040607688640583554,0.9272816771761369,0.9287614192904555,0.9292500125843284,0.9293463159970226,0.928852213542244,0.92778372126436,0.026027211503782347
E,mild,0.6170566554077903,0.10422862393123855,0.9996072540853858,0.9998061004620135,0.9998717571769173,0.9998846983404389,0.9998183013095882,0.9996747183055931,0.10408932688767569
E,stress,2.61345373311946,0.23290792501469942,1.0,1.0,1.0,1.0,1.0,1.0,0.23290792501469942
F,central,-0.43543380966573014,0.04557654902758099,0.9328314827628919,0.9325749074607619,0.9344829020741734,0.9346268180403087,0.9340248715767124,0.9332907097307224,0.03018654027217664
F,mild,0.6170566554077903,0.11698230428047159,1.0,1.0,1.0,1.0,1.0,1.0,0.11698230428047159
F,stress,2.61345373311946,0.2614071329520531,1.0,1.0,1.0,1.0,1.0,1.0,0.2614071329520531
G,central,-0.43543380966573014,0.04333649482769087,0.9304975551480044,0.9347160564862249,0.9360538527671791,0.9366002136930136,0.9373086242342774,0.9371635196724986,0.029026976169380134
G,mild,0.6170566554077903,0.11123270920126288,1.0,1.0,1.0,1.0,1.0,1.0,0.11123270920126288
G,stress,2.61345373311946,0.2485591627010339,1.0,1.0,1.0,1.0,1.0,1.0,0.2485591627010339
