month_date,ftr,grade
2007-08-01,,A
2007-09-01,,A
2007-10-01,,A
2007-11-01,,A
2007-12-01,,A
2008-01-01,,A
2008-02-01,,A
2008-03-01,,A
2008-04-01,,A
2008-05-01,,A
2008-06-01,,A
2008-07-01,,A
2008-08-01,,A
2008-09-01,,A
2008-10-01,,A
2008-11-01,,A
2008-12-01,,A
2009-01-01,,A
2009-02-01,,A
2009-03-01,,A
2009-04-01,,A
2009-05-01,0.003283881852583105,A
2009-06-01,0.00034385536863112314,A
2009-07-01,,A
2009-08-01,,A
2009-09-01,,A
2009-10-01,0.0018882479151771023,A
2009-11-01,0.0010230734982789073,A
2009-12-01,,A
2010-01-01,0.0027892439469939492,A
2010-02-01,0.0007791561141363864,A
2010-03-01,0.0005502643335606222,A
2010-04-01,0.00441165131666757,A
2010-05-01,0.001589994329185296,A
2010-06-01,0.0007069572446979038,A
2010-07-01,0.00035089464441877684,A
2010-08-01,0.001132759643320898,A
2010-09-01,0.001174074594583199,A
2010-10-01,0.0005238763950548253,A
2010-11-01,0.00039656841652911906,A
2010-12-01,0.0006595114059643777,A
2011-01-01,0.000846300265671243,A
2011-02-01,0.00025744742188406463,A
2011-03-01,0.0010294934182846105,A
2011-04-01,0.0006405933671157615,A
2011-05-01,0.0009582421808519803,A
2011-06-01,0.0006462670704048794,A
2011-07-01,0.0005216909107956278,A
2011-08-01,0.0011618670983707864,A
2011-09-01,0.001645586757153817,A
2011-10-01,0.0007869287679058439,A
2011-11-01,0.0008232695259432442,A
2011-12-01,0.0008958680859799912,A
2012-01-01,0.0005489973665267828,A
2012-02-01,0.000516737048333048,A
2012-03-01,0.0007577832526236306,A
2012-04-01,0.0007559452845001458,A
2012-05-01,0.0014813699175161188,A
2012-06-01,0.0012474186974231125,A
2012-07-01,0.0010241767450071188,A
2012-08-01,0.0014613849876708171,A
2012-09-01,0.0017290130943109514,A
2012-10-01,0.0011756082046357928,A
2012-11-01,0.0017572511140071946,A
2012-12-01,0.001382922007140421,A
2013-01-01,0.0012849756838620927,A
2013-02-01,0.001532060251835396,A
2013-03-01,0.0013618905874050401,A
2013-04-01,0.0013541998365707943,A
2013-05-01,0.0011515700338742834,A
2013-06-01,0.0008024208794475314,A
2013-07-01,0.0010137333282057978,A
2013-08-01,0.001014509226928478,A
2013-09-01,0.001302383455234781,A
2013-10-01,0.0008609612984787204,A
2013-11-01,0.000992280456212278,A
2013-12-01,0.0005482918199644915,A
2014-01-01,0.000776490867491676,A
2014-02-01,0.0008500766281771514,A
2014-03-01,0.0004952734511424131,A
2014-04-01,0.0006646729920708541,A
2014-05-01,0.000746572888749196,A
2014-06-01,0.0006478070395001525,A
2014-07-01,0.0009249422767288455,A
2014-08-01,0.0007022558223690844,A
2014-09-01,0.0008010929321524993,A
2014-10-01,0.0007235793616371548,A
2014-11-01,0.0007443248654539777,A
2014-12-01,0.0005501847216179906,A
2015-01-01,0.0009383338392436673,A
2015-02-01,0.0007267933779825498,A
2015-03-01,0.0007714478227094065,A
2015-04-01,0.0008378056918256572,A
