vintage_year,defaults,total_loans,default_rate,total_funded
2007,45,251,0.17928286852589642,2152175.0
2008,247,1562,0.15813060179257363,13457075.0
2009,594,4716,0.12595419847328243,46324425.0
2010,1487,11536,0.1289008321775312,116706400.0
2011,3297,21721,0.15178859168546568,257363650.0
2012,8644,53367,0.1619727546985965,717942625.0
2013,21024,134804,0.15595976380522833,1982607275.0
2014,41162,223103,0.1844977431948472,3253489500.0
2015,75804,375546,0.20185010624530683,5498601150.0
2016,68252,293105,0.23285853192541922,4240361600.0
2017,39169,169321,0.23132984095298278,2421502475.0
2018,8874,56318,0.15756951596292482,838076925.0
